Date,Bot or Not,Language,Page,Referrer,Browser Vendor,Browser Platform
"2026-05-22 17:36:51",human,en-GB,/about,http://127.0.0.1:8000/,"Google Inc.","Linux x86_64"
"2026-05-22 17:39:58",human,en-GB,/writing/samples,,"Google Inc.","Linux x86_64"
